"_id"	"__v"	"content"	"submi_date"	"title"	"visible"
"66139d32e447d2316e322aee"	"0"	"前人栽树，后人乘凉（国家发展亦是如此，叫传承！上下五千年！）
论拆迁征地：
       农民的根本是什么：耕地和住所。拆迁固然欣喜：百年后子孙无地无房，及时规划 留有后路！
       （不知大学论文是否有此主题）"	"1712561458424"	"一亩三分地之拆迁"	"true"
"662fbc9dfbd7504a4ad3acb0"	"0"	"真正的教育在哪里？

教育的本质：资源
如同种地：什么样的土壤、生么样的环境、什么样的营养：造就什么样的物种！

教育什么时候能达到实践中学习？

见识了它的好处，见识了它的劣处，令自己很矛盾！
河南这个地方，看到了太多和自己一样的人！假设把教育比作生产，只负责生产，不负责优良率！
一直在反思，一直在逃离！在这个时间点回想自己最需要的是什么：经历、眼界、还是其他！    应该是指导！我们不知道我们在哪一步需要做什么，有问题了怎么去解决！拖延+尝试成了自己最大的成本！  现在看来尝试不是最大的坏处，拖延般的尝试是最大的缺陷！

当教育投资回报甚小时：我们应该果断考虑离开！  教育让普通人浪费了太多的时间去学习那些用处甚微、甚至脱离时代的东西！
时代发展使学生成熟的越来越晚！进步还是失败？大多的普通人24岁还没有清晰的自我认知

学生衍生出的众多行业：目标收割群体！（反问：教育行业都催生出什么行业？这个又是你能动的吗？）

商人本质：趋利避害！万物皆为商

现金社会的本质是：经商，  每一个人都是商人：是什么商人、取决于你在售卖什么：体力、技术、产品、公司等等！
这是一个经商的时代，首行者往


怎么与样才能让我有更好的指引？   -->看书？  
毛主席\ 习主席\ 以及一些成功的企业家（一部分为视野） 都离不开书籍的影子！

网站还有很多问题，今天先到这里！
"	"1714404509514"	"教育！"	"true"
"6641df601ed3136f5d458eb7"	"0"	"医者本心：救死扶伤！

一个地区的建设（医者为商！可怕可怕）"	"1715593056029"	"医疗！"	"true"
"6641e0971ed3136f5d458ec2"	"0"	"超出自身能力太多的事，不要做！
跟风是最可怕的事、引用毛主席的话：别人都做的，咱就不做! 别人不做的，咱就去做！
为什么在中国优秀的思想得不到有效传播？到了这个年龄才零零散散悟透一些！

20240927
工作第一年就过起了还贷的日子！所以怎么都不可能重复曾经还贷的日子，除非这件事自认为很重要！
"	"1715593367634"	"房地产！"	"true"
"6641e1341ed3136f5d458ed1"	"0"	"存在问题：
    1、大量的老年人、极少的工作机会（一天五六十的工资！）
    2、年轻人的空缺
农村发展的未来：
     有思想的年轻一代！（想起妈妈和和自己讲的一件事：曾经村里出去的大学生，学成归来、想在村子里办厂经营发展：却被各级领导的漫天要价吓退！    想想农村有时候也很可悲！）"	"1715593524609"	"农村！"	"true"
"6641e3651ed3136f5d458ed6"	"0"	"城市发展的关键：
    旅游业（集他省资金加强本地建设！）、地理资源（煤、石油、天然气、水电  资金的本地建设）、工厂-贸易业（原材料、成品（））、进出口   反思：河南的煤矿为什么没使周边富裕起来、因为是个人企业！
    缺少狼一般的领导
河南的地理位置很被动!  自古以来为农业大省、为全国人民提供最重要的物资！放在哪里都会限制你的经济发展（不能让你们富裕起来这是核心、因为粮食是国家之本）！
关键：少了一位打出来的领导人！    作为我们的省长、我们都是跟着你混的
"	"1715594085120"	"城市！"	"true"
"6641e4ce1ed3136f5d458edf"	"0"	"媒者本心：公正、真实
现在的媒体：让人看不到真实的内容！
逐步排斥媒体、及网络（虚假的内容太多、索性就不去关心）！
"	"1715594446461"	"媒体！"	"true"
"6645804d1ed3136f5d458fff"	"0"	"我们的精神文明很匮乏！这是一个思考方向、
电影、游乐场对一定年龄的人已经没有了吸引力！"	"1715830861460"	"精神文明"	"true"
"664581b21ed3136f5d459008"	"0"	"古代中国对作买卖之人统称为“商贾”，有“坐贾行商”之说；意即“商”为从事长途贩运的商人，即为“行商”（英文“merchant”原来特指此职业，例如马可孛罗），负责把出产地的货物贩运到销售市场；“贾”是开设铺面从事零售的商人，即为“坐贾”，负责从行商那里大量买下货物，然后向当地消费者零售这些商品。小手工业者则是既作生产，也作销售。一些本钱较小的商人，既无力从事长途贩运，又无法开设店铺进行定点零售，只有简单临时摊档的则为“小贩”。连销售点也没有的，往往采用人力或小型交通工具走街串巷沿街叫卖，称为“货郎”。

现代运输发达兼分工仔细，以纯人力进行的长程商旅式微（但仍有少数地区如中国西南部茶马古道以以物易物方式交易）；出售货品的商人亦可简单分为“批发商”和“零售商”，或可比拟为“行商”和“坐贾”的关系。至于国际贸易有货品出口地的“出口商”和货品入口地的“入口商”等等。商人如果在经商的过程中，有创新营运模式或主导事业以后，行动具变革的特点、企求突破以扩充事业版图之人，更适合被称为“企业家”。


实业家
在近代中国，不少有识之士提倡“实业救国”；特别是洋务运动伊始，实业家多指兴办有实际工业生产，尤其是大规模现代化工厂，以取代传统小规模或家庭式作坊。

社会地位
商人自古就是士农工商四民之一，显示这对于一个社会的正常运作是不可或缺的职业。但中国由于历来人口众多，养活整个帝国的农业成了立国之本业，而从事商品运输和交换的商业成为统治阶级眼中的末业，商人的社会地位因此历来不高，不过也有往前排的例子[2][3]。韩非子在《五蠹》中把商人看作是社会的蛀虫。“重农抑商”成为帝国的基本国策，历朝统治者都或多或少有打压商人的政策。汉高祖曾发过一道禁令，规定商人必须纳重税，不得穿丝绸衣服，不得骑马，子子孙孙都不得做官。汉武帝发令，商人不论登记与否，一律课重税。不许商人和家属拥有土地，违者土地没收，并充当奴隶。隋唐科举制明确规定，商人及其子弟不得参加科举考试。宋朝只允许商人中有“奇才异行者”应举。 [4]明清时期进入航海时代，为了与世界竞争，商人地位才得以提高[5]，而他们的管理与远见能力也带来许多进步[6]。

世界
古代外国商人地位也不高，主要以阿拉伯人和犹太人为主从事，但他们在欧洲常受歧视，税率较高，需缴纳给皇室的税比其他任何人都要多。英国清教徒革命之后，商人的地位逐渐上升。在美国，商人的地位得到了空前的提高，许多人可同时身兼政府要职，他们往往透过游说团体与政治献金干预议会与政府的决策；在现代美国，大商人有担任总统者，如川普。"	"1715831218508"	"商人"	"true"
"664585b51ed3136f5d459028"	"0"	"在这个最好的时代！
却不知道怎么去利用它们

可悲可悲"	"1715832245778"	"时代！"	"true"
